"","resTime_Jan_tmin_voccMag","resTime_Jan_tmin_voccAng","resTime_Jun_tmin_voccMag","resTime_Jun_tmin_voccAng","resTime_Jan_tmax_voccMag","resTime_Jan_tmax_voccAng","resTime_Jun_tmax_voccMag","resTime_Jun_tmax_voccAng","resTime_Jan_ppt_voccMag","resTime_Jan_ppt_voccAng","resTime_Jun_ppt_voccMag","resTime_Jun_ppt_voccAng","resTime_Jan_dsi_voccMag","resTime_Jan_dsi_voccAng","resTime_Jun_dsi_voccMag","resTime_Jun_dsi_voccAng"
"MAPS_SISK",32.2186924379143,0.104722407605902,204.619266379986,0.0515647276656867,163.367482866654,0.102815193331454,204.619266379986,0.0515647276656867,807.353086344184,0.0519104587098194,74.3997484382094,0.0519553242181083,19.5269457635363,0.0340059037745224,3.25231605083152,0.0356996241757073
"MAPS_STAR",56.3314657773691,0.0958731895178078,391.358222731996,0.0698604364651885,57.9505548166172,0.0985903651783877,391.358222731996,0.0698604364651885,38.832044459791,0.0692920721481804,6.32012195172341,0.0490042436718339,61.7128481749847,0.0664750737322476,9.18957622727524,0.0401894445609972
"MAPS_TAHO",55.3817121915756,0.0619267655345715,84.756154140038,0.0456346149995224,65.9470982394257,0.045990127769064,84.756154140038,0.0456346149995224,64.6351274985031,0.0359177759220507,16.1160171150056,0.0565995396160182,20.8003050956787,0.0957933991519271,3.66507951335488,0.0362860395708327
"MAPS_TENR",121.297443586215,0.0819254242510155,16.8584431086723,0.0853404743682136,51.4771889470286,0.0392962765574289,16.8584431086723,0.0853404743682136,20.200801783385,0.0448514949767682,11.7724627470064,0.06892320887616,17.8992645638379,0.070706035126801,7.64363938292912,0.0891596900446719
"MAPS_TSS-",205.598502419407,0.0304464511075908,243.044083960132,0.0792042342213598,110.672388822446,0.0310228891326962,243.044083960132,0.0792042342213598,118.627097703516,0.0586202113727436,28.8265930630283,0.0557761900974923,50.1794380665915,0.0420716378066492,40.1508408300862,0.0816990394249242
"MAPS_UKLA",74.5010676535034,0.0460852882806113,167.610544033342,0.0352027727226958,105.749523940301,0.0347029039438478,167.610544033342,0.0352027727226958,168.36673625536,0.0481468479501616,40.0158765978152,0.0477303888879902,10.7822447254309,0.0355017769375649,2.80474048881626,0.0538772460911326
"MAPS_UKLA2",26.4038232976664,0.0605458542365339,206.618402624875,0.0575559978805025,81.8347050665434,0.0580401397705083,206.618402624875,0.0575559978805025,224.236652611495,0.0743291276766857,63.8262027479268,0.0758321356697284,2.64685045887965,0.0470313021384455,1.91527283550886,0.0391888296840917
"MAPS_WISH",20.7472279230942,0.0866398167116024,126.009428897784,0.0596951125041962,9.17609482015457,0.0352579636855589,126.009428897784,0.0596951125041962,1390.88415540572,0.0673909309273815,11.2337848564028,0.0957968275487335,8.02196212356439,0.0335655041998255,6.03502401278055,0.0393536782740144
"MAPS_WOLF",161.870432312335,0.0442380554036318,218.871526437843,0.0446974139179889,103.364933645296,0.0462646557925491,218.871526437843,0.0446974139179889,57.1571058751511,0.0415019161921576,18.7467292317903,0.0439656090884033,6.94933301985534,0.0436926150738935,3.9903447025614,0.0401755781436799
"MAPS_WPNC",162.21902823067,0.0718411180528205,11.7301148331624,0.0429463207514141,43.7169073178488,0.0451456640909411,11.7301148331624,0.0429463207514141,12.9113628966771,0.0334569146697753,33.5955901308575,0.107069062961366,2.60505109531104,0.0333431712534085,1.65886744624223,0.0380372710694089
